Actual,Predicted
55.3,60.216263
80.6,70.064705
48.0,46.2094
76.5,76.68443
77.3,72.89787
45.6,43.67549
61.0,50.08712
39.3,63.083065
66.1,75.0422
38.9,50.789917
81.7,57.2171
77.0,73.95111
79.8,59.660736
47.5,45.86725
69.7,55.95638
45.7,65.70421
68.7,42.446884
59.7,54.618027
60.1,66.95692
78.8,42.171566
56.5,64.8861
62.2,54.71151
34.2,45.352024
52.4,68.9572
53.6,56.378452
24.7,44.64445
68.4,61.335964
51.3,64.770256
67.6,66.218895
82.0,73.338165
37.8,45.383877
80.4,58.46934
85.1,51.322086
65.2,71.19145
48.8,45.42476
59.9,63.87664
88.4,68.93793
78.2,59.992435
38.1,53.546623
77.9,54.678246
78.4,70.20751
47.0,54.36369
36.9,51.08901
58.6,68.68895
64.3,44.963043
81.3,76.37156
83.6,53.561317
52.6,53.357777
80.5,51.721375
81.6,74.27186
57.6,65.70013
57.3,57.353916
57.9,60.473316
60.8,52.26267
72.9,74.757355
69.0,71.71352
27.6,42.47548
9.7,42.687145
86.7,72.99051
70.5,46.717262
78.4,52.4853
50.5,57.740536
34.0,52.20387
84.7,76.29591
40.1,61.32347
53.8,53.221348
54.5,47.907555
68.3,68.81201
27.3,44.43901
58.3,73.13916
28.0,53.317253
72.0,42.138718
39.6,45.691963
39.9,57.42831
37.9,42.28415
79.9,72.60818
76.6,70.6747
70.9,65.15454
55.1,71.59249
64.1,49.605934
59.4,47.28322
63.9,74.743805
80.1,44.503883
84.3,73.3243
61.4,71.99268
43.7,52.33986
71.4,75.17398
60.0,73.93583
79.4,76.45705
67.6,64.18436
65.6,74.48698
36.4,57.6781
49.7,73.46836
38.4,45.766335
75.2,74.67268
48.2,74.42014
72.4,76.46977
40.6,62.37036
56.2,60.121582
38.3,45.918068
78.8,47.973713
72.7,73.03501
22.5,53.32568
70.9,71.29267
40.7,45.18247
79.7,76.69977
73.9,47.73632
71.7,74.60612
31.8,42.66397
78.6,64.14724
68.4,63.534588
55.3,61.887157
73.5,74.50068
82.7,72.824745
61.5,53.929195
80.5,45.182064
78.4,67.69726
52.6,60.707058
69.3,67.32504
21.0,43.874783
77.4,74.3119
72.3,75.94797
61.2,58.685104
81.4,57.980133
50.8,63.851135
40.0,45.3069
79.3,74.10767
72.9,73.363686
56.1,65.8142
55.5,69.2156
47.7,52.751957
54.1,55.09131
56.3,64.79172
62.3,59.62176
82.6,67.41443
25.7,52.313137
44.8,53.10614
20.7,42.944324
65.8,51.013046
83.3,75.52386
71.9,71.49716
65.3,75.30252
60.0,58.789623
75.7,74.30592
81.8,74.81933
42.8,66.99913
45.4,42.98301
75.9,62.657238
55.5,64.836365
79.5,76.62309
81.6,58.860744
41.8,42.810074
33.5,45.366627
73.2,50.270386
74.3,45.69622
56.5,59.416294
49.6,61.019848
33.4,52.019325
78.5,46.962994
81.8,74.64856
66.7,43.648926
71.6,51.58941
76.0,43.187263
55.6,67.58179
80.7,73.66429
76.1,74.40828
74.9,73.02988
59.1,63.721657
44.2,56.547432
82.2,61.796852
85.5,63.498035
75.9,68.54421
33.9,50.453064
36.4,44.98326
79.1,65.81345
37.4,44.677475
57.0,72.97155
73.1,66.360085
89.7,76.42614
81.6,63.35375
42.4,58.654335
80.7,54.5084
73.0,74.5271
75.3,74.62043
39.4,46.252815
56.2,69.6562
87.1,72.588
67.8,65.35875
10.0,44.18716
30.9,51.106945
47.5,43.189545
58.6,66.81668
57.7,55.906082
81.3,43.906406
34.4,47.7511
86.6,68.80871
46.1,55.728317
81.1,53.95741
84.4,66.60779
28.6,46.317017
72.1,59.83464
71.7,52.075104
21.6,51.95026
84.2,59.445797
77.5,68.15594
20.9,45.71321
63.1,67.651436
19.5,46.55321
61.2,61.51892
36.3,49.908295
64.2,67.72998
62.1,64.833244
75.7,71.37749
85.2,73.827614
63.5,67.741356
61.8,67.6083
78.7,49.783073
75.4,61.71856
47.1,57.280342
75.3,52.022575
80.9,63.970028
42.7,48.85531
81.0,74.35299
68.7,44.953396
18.6,43.759804
48.4,57.358124
70.9,69.23185
21.3,52.630867
81.1,69.91864
69.6,46.742813
70.5,71.75899
59.4,75.28034
77.1,64.75119
69.9,76.71252
77.6,65.74557
88.5,63.154964
64.3,75.250336
80.7,74.61299
